Timestamp,What's the link to the job posting?,Do you have any additional information to include with the post to entice someone to click through? (Recommended),Would you like to include a salary range?,Salary range,Employer name,Job title,Working style,,Do you have anything about the total compensation available at your company you'd like to share?,"Starting November 1, 2023 changes to BC law will mean salary ranges will be mandatory for all job postings for companies of all sizes.
Timestamp,What's the link to the job posting?,Do you have any additional information to include with the post to entice someone to click through? (Recommended),Would you like to include a salary range?,Salary range,Employer name,Job title,Working style,,Do you have anything about the total compensation available at your company you'd like to share?,"Starting November 1, 2023 changes to BC law will mean salary ranges will be mandatory for all job postings for companies of all sizes. 

Please share what your organizational plan is to comply with this new law.","If you'd like to be contacted with questions about this job posting, please share the Slack handle(s) of who to reach out to",What type of role is this?,Visa sponsorship,Hiring process,,Comp low,Comp high
3/8/2021 17:59:07,https://www.workatastartup.com/jobs/33566 ,"At Weav, we’re building a universal API for integrating with businesses’ commerce platforms (e.g. Stripe, Square, Amazon). 

Weav makes it easy for businesses of all sizes to share commerce data with fintech companies and financial institutions. This enables these businesses to access new services and financial products that help them grow and succeed.

The company is currently fully remote and our team is spread across the USA, Canada and Tel Aviv. We use Golang, Python, Docker, MySQL and AWS. We prefer candidates with 2+ years of industry experience.

We are looking for backend engineers who are interested in building a developer-centric product and are curious/excited about supporting the next generation of fintech. You’ll have the opportunity to take ownership of your work from development to testing to deployment. 

We’re growing fast, join us!

Apply here: https://www.workatastartup.com/jobs/33566 
Email for questions: zach@weav.co
Website: https://www.weav.co

Please mention ""yyj"" in your email/application to help us with source tracking!",No,,Weav,Backend Software Engineer,,,,,,,,,,,
2/18/2021 21:35:02,https://guusto.breezy.hr/p/18b6b3bbb10e-head-of-growth-marketing,,Yes,"$90,000-$140,000 + Bonus",Guusto,Head of Growth Marketing,,,,,,,,,,90000,140000
2/9/2021 19:25:25,https://www.linkedin.com/jobs/view/2396748007/,Junior role for someone with a strong eye for design and 1-3 years experience working with Shopify.,No,,Ecologyst ,Ecommerce Specialist,,,,,,,,,,,
2/9/2021 13:01:15,https://www.viatec.ca/jobs/senior-data-engineer-5,"Additionally this was very exciting development was recently announced https://www.businesswire.com/news/home/20210129005283/en/Nerdy-to-Become-Public-Company-via-Business-Combination-with-TPG-Pace-Tech-Opportunities

Note: Nerdy is the parent company of Varsity Tutors",No,,Varsity Tutors,Senior Data Engineer,,,,,,,,,,,
2/9/2021 13:00:26,https://www.viatec.ca/jobs/senior-software-engineer-6,"Additionally this was very exciting development was recently announced https://www.businesswire.com/news/home/20210129005283/en/Nerdy-to-Become-Public-Company-via-Business-Combination-with-TPG-Pace-Tech-Opportunities

Note: Nerdy is the parent company of Varsity Tutors",No,,Varsity Tutors,Senior Software Engineer,,,,,,,,,,,
2/9/2021 12:57:01,https://www.viatec.ca/jobs/senior-front-end-engineer,"We are looking for a Software Engineer to join the engineering team. Your focus would be on building frontend experiences in React. Familiarity with backend services & technologies is a plus, particularly in React, Python, Golang and Ruby on Rails. We have a complete CI/CD software lifecycle and an evolving services-oriented-architecture hosted in AWS. We operate in a highly collaborative environment with Product and Design to build experiences that matter to our customers. 

Additionally this was very exciting development was recently announced https://www.businesswire.com/news/home/20210129005283/en/Nerdy-to-Become-Public-Company-via-Business-Combination-with-TPG-Pace-Tech-Opportunities

Note: Nerdy is the parent company of Varsity Tutors",No,,Varsity Tutors,Senior Full Stack Engineer (Front End focus),,,,,,,,,,,
2/5/2021 9:51:01,https://www.viatec.ca/jobs/api-developer-2,,Yes,"$76,000 - $90,000",EducationPlannerBC,API Developer,,,,,,,,,,76000,90000
2/5/2021 9:49:39,https://www.viatec.ca/jobs/devopsinfrastructure-developer,,Yes,"$70,000 - $95,000",EducationPlannerBC,DevOps/Infrastructure Developer,,,,,,,,,,70000,95000
2/4/2021 9:24:34,https://hyas.bamboohr.com/jobs/view.php?id=20&source=aWQ9MTc%3D,,No,,HYAS Infosec Inc.,HR/HX,,,,,,,,,,,
2/3/2021 8:49:08,https://apply.hire.toggl.com/D3L6P0Y75E9JK69U0V,"We’re building products that totally rethink how commercial properties access carbon reduction. The climate crisis demands nothing less. We’ve built an amazing team of thoughtful, empathetic, and creative professionals who love making great things. We’re hiring a technical expert who has brought enterprise-grade machine learning projects to scale. In the first 12 months we will automate commercial energy audits and deploy them across more than 500 buildings. You’ll work alongside our mechanical engineering lead and with an excellent team of developers and researchers. You’ll design a technical roadmap, integrate user specifications, and iteratively deploy automation solutions. Long term, you’ll adapt these methods from region to region as we grow.",Yes,$100K - $160K based on experience,Audette,Head of Software,,,,,,,,,,100000,160000
11/4/2020 8:35:53,https://uvic.mua.hrdepartment.com/hr/ats/Posting/view/6292,,Yes," $69,909.00 - $91,385.00",University of Victoria,Senior Software Developer,,,,,,,,,,"69,909.00","91,385.00"
7/6/2020 20:16:50,https://apply.hire.toggl.com/7DV197DPPR7LQL9TY5,"We are currently seeking a full-stack developer to join our software development team. We need someone who is capable and passionate about creating reliable, efficient and maintainable software. You will work with our team to ensure that new functionality being introduced to our application is robust and easy to maintain. A commitment to collaborative problem solving, sophisticated design, and quality product is important.",Yes,$55-$65K,Audette,Software Developer,,,,,,,,,,55000,65000
6/3/2020 16:45:15,https://www.uvic.ca/hr/assets/docs/recruitment/careers-other/misc-docs/software_developer_june_2020.pdf,A 3-year full-time grant-funded position with the Vancouver Island Drug checking team.,No,,UVic Department of Chemistry,Software Developer,,,,,,,,,,,
3/10/2020 11:26:19,https://apply.workable.com/pixel-union/j/C530B07422/,,Yes,"55,000 - 65,000",Pixel Union,Support Developer,,,,,,,,,,55000,65000
1/27/2020 14:51:17,https://apply.workable.com/onefeather/j/3B906F180A/,"Hundreds of First Nations across Canada are using OneFeather to manage their Membership registrar and conduct major community decisions and voting events transparently. Our web-based technology makes engagement simple and intuitive for First Nations.

Our tech team is small - but growing! We’re looking for a Development Team Lead to build and scale our technical team as we expand our product offerings.

Salary range not included, as the right candidate may be very experienced, or more junior. We'll be up-front about this in our conversation and aim to pay competitively as measured by province wide salary surveys.",No,,OneFeather,Development Team Lead,,,,,,,,,,,
12/18/2019 10:41:50,https://bcpublicservice.hua.hrsmart.com/hr/ats/Posting/view/66085,,Yes,"$63,973.31 - $72,937.86",BC Public Service,Service Design Specialist,,,,,,,,,,"63,973.31","72,937.86"
11/29/2019 8:54:00,https://hire.withgoogle.com/public/jobs/freshworksio/view/P_AAAAAAEAAEbBhTMfEvX03s,"We're looking for a Contractor for an upcoming Gov bid. If you're interested, please apply before EOD on Dec 3.",Yes,$65+/h,FreshWorks Studio,Full Stack Developer (+DevOps/deployment experience),,,,,,,,,,,
11/29/2019 8:44:28,https://hire.withgoogle.com/public/jobs/freshworksio/view/P_AAAAAAEAAEbDY28IEYc9c9,"We're looking to hire a FT team member for our Victoria office in addition to sourcing a contractor for an upcoming Gov bid. If you're interested in the contract role, please apply before EOD on Dec 3.",No,,FreshWorks Studio,DevOps Specialist,,,,,,,,,,,
11/12/2019 17:05:37,http://metalheadsoftware.com/community-liaison-admin/,"Do you love sports, love video games, and love being a part of online communities? Come and join our team as the Community Liaison & Admin! This role’s primary focus will be on managing our community and support channels – but you’ll also be responsible for general communications, certain internal support/administrative tasks, and becoming an expert player of our games!",No,,Metalhead Software,Community Liaison & Admin,,,,,,,,,,,
11/1/2019 11:40:30,https://www.viatec.ca/jobs/devops-sysadmin,"Intermediate-ish.

- Victoria downtown office with 11-person Agile dev team, most of whom have been around for years
- Long-term stable government-funded project with big stakeholders coming on board in the next year-ish
- Good management and helpful, results-focused team
- Pretty chill/low-stress
- This is technically the first devops role we've hired for. Yes, we have some legacy stuff to work through, and there will need to be some change (pretty well mapped out already). There are strong existing processes and the folks in charge of the devops tasks now are around to give you a good foundation.
- 5 weeks vacation + solid benefits + 35h weeks",Yes,70000-84000,EducationPlannerBC,DevOps/SysAdmin,,,,,,,,,,70000,84000
10/18/2019 12:44:12,https://www.viatec.ca/jobs/technical-account-specialist,,No,,RevenueWire,Technical Account Specialist,,,,,,,,,,,
10/4/2019 14:12:31,https://tula.bamboohr.com/jobs/,:ocean: :ocean: :ocean: `Code` for the ocean! The *Hakai Institute* is hiring _Software Developers_ :ocean: :ocean: :ocean:,No,,Hakai Institute / Tula Foundation,Software Developer,,,,,,,,,,,
10/4/2019 13:36:34,http://metalheadsoftware.com/jobs/quality-assurance-analyst/,"Do you love games? Do you hate when games don’t work properly? Are you looking for an outlet for your perfectionist tendencies? If yes, we have the job for you! We are currently looking for someone to help us with quality assurance on our third major title.

Part of full-time, October through April, with possible extension through Spring/Summer 2020.",Yes,$15/hour,Metalhead Software,Video Game Quality Assurance Analyst ,,,,,,,,,,,
10/2/2019 14:34:34,https://grnh.se/2530dddd1,"Doximity is a San Francisco based company with 50% (~200) remote employees all over North America (including myself in Victoria).
- product is incredible, it's a tool to help doctors practice
- the future of the company is very promising
- the pay is fantastic
- the benefits are amazing (including offsites every 3 months travelling all over the US with your team) 
I love working there and I am posting this because I'd love to help the company (I work as a Data Engineer, so iOS Developer isn't very close to me).",No,,Doximity,iOS Developer (Swift),,,,,,,,,,,
9/30/2019 12:17:43,https://rooof.bamboohr.com/jobs/view.php?id=57,"Rooof is looking to hire a Senior Software Engineer! We offer lots of great perks like fully paid benefits, RSP matching, fitness subsidies, parental leave, and much more!",No,,Rooof,Senior Software Engineer,,,,,,,,,,,
9/23/2019 11:13:54,https://kanoapps.bamboohr.com/jobs/view.php?id=51,Kano is releasing their next game -- Fubar!! And we're looking for a Dev. to join us!,No,,Kano,Senior Game Developer - Unity,,,,,,,,,,,
9/11/2019 15:28:52,https://www.viatec.ca/jobs/software-engineer-13,We're looking for great developers of various experience levels to join our team! If you love Java WE WANT TO MEET YOU!,No,,Codan Communications ,Software Engineer,,,,,,,,,,,
9/5/2019 17:00:37,https://ftsinc.com/wp-content/uploads/2019/08/FTS-Software-Developer-Job-Description.pdf,"FTS has made environmental weather stations for over 30 years, however building our SaaS products is like a start-up inside of a larger company.",Yes,50k-80k depending on skill level,FTS Inc.,Software Developer,,,,,,,,,,,
8/28/2019 12:44:57,https://1-second-everyday.breezy.hr/p/f25c12fbfb40-senior-android-developer,We're interviewing for the next couple of weeks and hoping to wrap up offers by the end of September so that new hires can join us for a retreat in Cancún the week of October 20. If you have any questions don't hesitate to ask me (Sami Samhuri) here or anywhere else you find me online!,Yes,"USD $72,000 - $123,000 (depending on experience and cost of living)",1 Second Everyday,Senior Android Developer,,,,,,,,,,,
8/23/2019 11:03:15,https://pixel-union.workable.com/jobs/1106819,This is a contract position to start with potential to extend.,No,,Pixel Union,QA Specialist,,,,,,,,,,,
8/14/2019 11:15:13,https://bit.ly/2KKANan,"This role would be a good fit for anyone with co-op or work experience as an Exec Assistant, Office Admin, Coordinator or Bookkeeper/Accountant/Finance role.",No,,FreshWorks Studio,Operations Assistant,,,,,,,,,,,
8/14/2019 8:24:47,https://bit.ly/2KKANan,"This role would be a goo fit for anyone with co-op or work experience as an Exec Assistant, Office Admin, Coordinator or Bookkeeper/Accountant/Finance role.",No,,FreshWorks Studio,Operations Assistant,,,,,,,,,,,
8/7/2019 9:57:08,https://bit.ly/2MLLY5i,"We’re open to recent grads with co-op experience in finance/accounting, but 1-2 years experience is preferable! Enjoy flexible working hours, snacks, a ton of room from growth and a collaborative working environment. ",No,,FreshWorks Studio,Bookkeeper,,,,,,,,,,,
8/6/2019 12:14:30,https://stocksy.bamboohr.com/jobs/view.php?id=48,"Remote friendly, unlimited time off, lunch and learns",No,,Stocksy United,Junior Graphic Designer,,,,,,,,,,,
7/31/2019 10:38:23,https://www.viatec.ca/jobs/junior-web-developer-2,,No,,Crowd Content,Junior Web Developer,,,,,,,,,,,
7/30/2019 15:13:10,https://www.viatec.ca/jobs/intermediate-full-stack-web-developer,,No,,VitaminLab,Intermediate Full Stack Web Developer,,,,,,,,,,,
7/26/2019 14:37:37,https://www.change.org/careers/fe790c61-e236-41d0-8198-291e982323d7,"It says that the role is based in SF -- but there is flexibility for it to be based out of our Vic Product/Eng office. 
Also, I can go find $'s for the salary band for this level. At the moment I only have that for it being an SF hire. ",No,,Change.org,VP Product,,,,,,,,,,,
7/23/2019 15:40:12,https://jobs.jobvite.com/kixeye/job/olwyafwj,,No,,KIXEYE,Project Manager,,,,,,,,,,,
7/19/2019 15:44:02,https://www.flytographer.com/jobs/,,No,,Flytographer,Customer Success Manager,,,,,,,,,,,
7/19/2019 13:12:39,https://www.viatec.ca/jobs/api-developer,"To be posted on https://educationplannerbc.ca/project/staff/careers also shortly.  Victoria or Vancouver.

Salaries not posted but competitive. Development team of 10 mainly based in downtown Victoria; business team in Vancouver. 1 year term but I'd assume likely extension.  Salaries competitive, solid benefits and vacation.",No,,EducationPlannerBC,API Developer,,,,,,,,,,,
7/19/2019 13:07:23,https://www.viatec.ca/jobs/web-ui-developer,"Will be posted shortly on https://educationplannerbc.ca/project/staff/careers as well.

It's a chill, comfortable group of developers in Victoria (downtown); business team in Vancouver. ",No,,EducationPlannerBC,Web UI Developer,,,,,,,,,,,
6/29/2019 11:29:30,https://drive.google.com/open?id=1kIo89dy7C-tk4RD9L_wfJVNcQmr0hXJX,,No,,Participedia,Server-side Developer,,,,,,,,,,,
6/28/2019 13:04:27,https://drive.google.com/file/d/1kIo89dy7C-tk4RD9L_wfJVNcQmr0hXJX/view,,No,,Participedia,Server-Side Developer,,,,,,,,,,,
6/25/2019 8:58:57,https://hire.withgoogle.com/public/jobs/freshworksio/view/P_AAAAAAEAAEbOvqaNJt0dJ_,Open to contract or permanent!,No,,FreshWorks Studio,.Net Developer,,,,,,,,,,,
6/24/2019 15:58:05,https://plurilock.breezy.hr/p/eab98d2d94c2-intermediate-software-engineer,"We're looking for a dynamic software engineer with a range of experience, a desire to learn, and experience in SaaS. We are a dynamic team, working in the fast-changing world of behavioural biometric security. The Plurilock head office is located in the heart of downtown Victoria. If you are just out of school, don't hesitate to apply. We love awesome people of all types and experience.  ",Yes,"$55K - $75K plus equity, salary dependent on experience",Plurilock Security,Intermediate Software Engineer,,,,,,,,,,55000,75000
6/24/2019 15:26:40,https://rooof.bamboohr.com/jobs/view.php?id=41,"Lots of awesome perks! Fully paid health plan, RSP matching, fitness subsidy, charitable giving program... and more! ",No,,Rooof,UX/UI Designer,,,,,,,,,,,
6/15/2019 11:46:52,,This is a job posting without a salary range,"No, we have a policy not to disclose salaries",,,,,,,,,,,,,,
6/15/2019 11:36:41,,This is where data would go about why we should work for the company,Yes,,,,,,,,,,,,,,
5/2/2019 17:11:13,,,"No, we don't have a range it's dependent on the individual's experience and fit",,,,,,,,,,,,,,
